id,source,type,topic,question_text,given_answer,notes
Q11,NLP_Cluster_aufgaben.pdf_2,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q12,NLP_Cluster_aufgaben.pdf_3,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q13,NLP_Cluster_aufgaben.pdf_4,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q14,NLP_Cluster_aufgaben.pdf_5,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q15,NLP_Cluster_aufgaben.pdf_6,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q16,NLP_Cluster_aufgaben.pdf_7,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q17,NLP_Cluster_aufgaben.pdf_8,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q18,NLP_Cluster_aufgaben.pdf_9,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q19,NLP_Cluster_aufgaben.pdf_10,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q20,NLP_Cluster_aufgaben.pdf_11,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q21,NLP_Cluster_aufgaben.pdf_12,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q22,NLP_Cluster_aufgaben.pdf_13,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q23,NLP_Cluster_aufgaben.pdf_14,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q24,NLP_Cluster_aufgaben.pdf_15,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q25,NLP_Cluster_aufgaben.pdf_16,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q26,NLP_Cluster_aufgaben.pdf_17,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q27,NLP_Cluster_aufgaben.pdf_18,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q28,NLP_Cluster_aufgaben.pdf_19,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q29,NLP_Cluster_aufgaben.pdf_20,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q30,NLP_Cluster_aufgaben.pdf_21,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q31,NLP_Cluster_aufgaben.pdf_22,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q32,NLP_Cluster_aufgaben.pdf_23,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q33,NLP_Cluster_aufgaben.pdf_24,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q34,NLP_Cluster_aufgaben.pdf_25,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q35,NLP_Cluster_aufgaben.pdf_26,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q36,NLP_Cluster_aufgaben.pdf_27,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q37,NLP_Cluster_aufgaben.pdf_28,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q38,NLP_Cluster_aufgaben.pdf_29,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q39,NLP_Cluster_aufgaben.pdf_30,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q40,NLP_Cluster_aufgaben.pdf_31,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q41,NLP_Cluster_aufgaben.pdf_32,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q42,Probeklausur.pdf_1,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q43,Probeklausur.pdf_2,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q44,Probeklausur.pdf_3,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q45,Probeklausur.pdf_4,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q46,Probeklausur.pdf_5,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q47,Probeklausur.pdf_6,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q48,Probeklausur.pdf_7,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q49,Probeklausur.pdf_8,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q50,Probeklausur.pdf_9,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q51,Probeklausur.pdf_10,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q52,Probeklausur.pdf_11,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
Q53,Probeklausur.pdf_12,bildbasierte_frage,NLP-Allgemein,,"Lösungsskizze: Beantworten Sie die Frage präzise in eigenen Worten und nennen Sie relevante Definitionen, Beispiele und Begründungen; verweisen Sie, wo sinnvoll, auf Formeln oder Algorithmen.",Bitte manuell prüfen und ggf. transkribieren.
